chapter number, title, wordcount, timestamp
99,"Malfeasance 11.11",5323,2014-10-04T00:01:18-05:00
100,"Histories (Arc 11)",7829,2014-10-07T00:01:46-05:00
101,"Duress 12.1",6235,2014-10-09T00:01:19-05:00
102,"Duress 12.2",7080,2014-10-11T00:01:57-05:00
103,"Duress 12.3",6251,2014-10-14T00:01:05-05:00
104,"Duress 12.4",5282,2014-10-16T00:01:25-05:00
105,"Duress 12.5",7130,2014-10-18T00:01:36-05:00
106,"Duress 12.6",5722,2014-10-21T00:01:58-05:00
107,"Duress 12.7",5976,2014-10-25T00:01:19-05:00
108,"Duress 12.8",5632,2014-10-28T00:01:09-05:00
109,"Histories (Arc 12)",6519,2014-11-01T00:01:21-05:00
110,"Execution 13.1",5084,2014-11-04T00:01:20-05:00
111,"Execution 13.2",5331,2014-11-06T00:01:40-05:00
112,"Execution 13.3",6122,2014-11-08T00:01:42-05:00
113,"Execution 13.4",3704,2014-11-11T00:01:30-05:00
114,"Execution 13.5",6073,2014-11-15T00:01:36-05:00
115,"Execution 13.6",5142,2014-11-18T00:01:35-05:00
116,"Execution 13.7",5207,2014-11-20T00:01:28-05:00
117,"Execution 13.8",6422,2014-11-22T00:01:50-05:00
118,"Execution 13.9",5281,2014-11-25T00:01:45-05:00
119,"Gathered Pages (Arc 13)",5907,2014-11-29T00:01:54-05:00
120,"Sine Die 14.1",5198,2014-12-02T00:01:32-05:00
121,"Sine Die 14.2",4608,2014-12-04T00:01:25-05:00
122,"Sine Die 14.3",5369,2014-12-06T00:01:50-05:00
123,"Sine Die 14.4",4577,2014-12-09T00:01:32-05:00
124,"Sine Die 14.5",6197,2014-12-13T00:01:03-05:00
125,"Sine Die 14.6",5095,2014-12-16T00:01:07-05:00
126,"Sine Die 14.7",5488,2014-12-20T00:01:42-05:00
127,"Sine Die 14.8",4752,2014-12-23T00:01:51-05:00
128,"Sine Die 14.9",5230,2014-12-27T00:10:32-05:00
129,"Sine Die 14.10",4354,2014-12-30T00:01:33-05:00
130,"Histories (Arc 14)",4583,2015-01-03T00:01:39-05:00
131,"Possession 15.1",5977,2015-01-06T00:01:49-05:00
132,"Possession 15.2",6133,2015-01-08T00:01:05-05:00
133,"Possession 15.3",6815,2015-01-10T00:01:20-05:00
134,"Possession 15.4",5003,2015-01-13T00:01:47-05:00
135,"Possession 15.5",5093,2015-01-17T00:01:43-05:00
136,"Possession 15.6",5161,2015-01-20T00:01:33-05:00
137,"Possession 15.7",4661,2015-01-22T00:01:17-05:00
138,"Histories (Arc 15)",5041,2015-01-24T00:01:12-05:00
139,"Judgment 16.1",4940,2015-01-27T00:01:54-05:00
140,"Judgment 16.2",5425,2015-01-29T00:01:09-05:00
141,"Judgment 16.3",5371,2015-01-31T00:01:14-05:00
142,"Judgment 16.4",4211,2015-02-03T00:01:44-05:00
143,"Judgment 16.5",4780,2015-02-07T00:01:30-05:00
144,"Judgment 16.6",4766,2015-02-10T00:01:30-05:00
145,"Judgment 16.7",5424,2015-02-14T00:01:40-05:00
146,"Judgment 16.8",5277,2015-02-17T00:01:16-05:00
147,"Judgment 16.9",6240,2015-02-19T00:01:10-05:00
148,"Judgment 16.10",4871,2015-02-21T00:01:37-05:00
149,"Judgment 16.11",5578,2015-02-24T00:01:10-05:00
150,"Judgment 16.12",4219,2015-02-28T00:01:00-05:00
151,"Judgment 16.13",5317,2015-03-03T00:01:37-05:00
152,"Epilogue",3911,2015-03-07T00:01:31-05:00
