chapter number, title, wordcount, timestamp
102,Infestation 11.2,5185,2012-05-22T00:01:34-05:00
103,Infestation 11.3,5488,2012-05-26T00:01:35-05:00
104,Infestation 11.4,3788,2012-05-29T00:01:57-05:00
105,Infestation 11.5,4720,2012-06-02T00:01:01-05:00
106,Infestation 11.6,5166,2012-06-05T00:01:58-05:00
107,Infestation 11.7,6595,2012-06-09T00:01:03-05:00
108,Infestation 11.8,4686,2012-06-12T00:01:15-05:00
109,Interlude 11a,7629,2012-06-16T00:01:33-05:00
110,Interlude 11b (Anniversary Bonus),3742,2012-06-17T00:01:14-05:00
111,Interlude 11c (Anniversary Bonus),4311,2012-06-18T00:01:29-05:00
112,Interlude 11d,3960,2012-06-19T00:01:35-05:00
113,Interlude 11e (Anniversary Bonus),4747,2012-06-20T00:01:10-05:00
114,Interlude 11f (Anniversary Bonus),4507,2012-06-21T00:01:31-05:00
115,Interlude 11g (Anniversary Bonus),4412,2012-06-22T00:01:06-05:00
116,Interlude 11h,8745,2012-06-23T00:01:05-05:00
117,Plague 12.1,6055,2012-06-26T00:01:40-05:00
118,Plague 12.2,5667,2012-06-30T00:01:30-05:00
119,Plague 12.3,4757,2012-07-03T00:01:47-05:00
120,Plague 12.4,4781,2012-07-07T00:01:20-05:00
121,Plague 12.5,4312,2012-07-10T00:01:15-05:00
122,Plague 12.6,5177,2012-07-14T00:01:54-05:00
123,Plague 12.7,7376,2012-07-17T00:01:56-05:00
124,Plague 12.8,4795,2012-07-21T00:01:10-05:00
125,Interlude 12,5168,2012-07-24T00:01:17-05:00
126,Interlude 12½ (Donation Bonus),9501,2012-07-26T00:01:15-05:00
127,Snare 13.1,4747,2012-07-28T00:01:46-05:00
128,Snare 13.2,4648,2012-07-31T00:01:35-05:00
129,Interlude 13½ (Donation Bonus),4347,2012-08-02T00:01:34-05:00
130,Snare 13.3,5560,2012-08-04T00:01:51-05:00
131,Snare 13.4,4522,2012-08-07T00:01:23-05:00
132,Snare 13.5,4296,2012-08-11T00:01:12-05:00
133,Snare 13.6,6420,2012-08-14T00:01:17-05:00
134,Snare 13.7,4149,2012-08-18T00:01:48-05:00
135,Snare 13.8,5549,2012-08-21T00:01:54-05:00
136,Snare 13.9,6964,2012-08-25T00:01:01-05:00
137,Snare 13.10,4113,2012-08-28T00:01:21-05:00
138,Interlude 13,5317,2012-09-01T00:01:23-05:00
139,Prey 14.1,4801,2012-09-04T00:01:08-05:00
140,Prey 14.2,5096,2012-09-08T00:01:12-05:00
141,Prey 14.3,5717,2012-09-11T00:01:32-05:00
142,Prey 14.4,5387,2012-09-15T00:01:15-05:00
143,Prey 14.5,4694,2012-09-18T00:01:32-05:00
144,Prey 14.6,4653,2012-09-22T00:01:10-05:00
145,Prey 14.7,5798,2012-09-25T00:01:24-05:00
146,Prey 14.8,7197,2012-09-29T00:01:20-05:00
147,Prey 14.9,5502,2012-10-02T00:01:54-05:00
148,Prey 14.10,6875,2012-10-06T00:01:51-05:00
149,Prey 14.11,5664,2012-10-09T00:01:53-05:00
150,Interlude 14,6217,2012-10-11T00:01:34-05:00
151,Interlude 14.5 (Bonus Interlude),5977,2012-10-13T00:01:49-05:00
152,Colony 15.1,6336,2012-10-16T00:01:48-05:00
153,Interlude 15 (Donation Bonus),7691,2012-10-18T00:01:08-05:00
154,Colony 15.2,5553,2012-10-20T00:01:30-05:00
155,Colony 15.3,4878,2012-10-23T00:01:44-05:00
156,Interlude 15 (Donation Bonus #2),6005,2012-10-25T00:01:42-05:00
157,Colony 15.4,4845,2012-10-27T00:01:10-05:00
158,Colony 15.5,4880,2012-10-30T00:01:20-05:00
159,Colony 15.6,4695,2012-11-03T00:01:19-05:00
160,Colony 15.7,4673,2012-11-06T00:01:32-05:00
161,Interlude 15 (Donation Bonus #3),7335,2012-11-08T00:01:10-05:00
162,Colony 15.8,4798,2012-11-10T00:01:15-05:00
163,Colony 15.9,4942,2012-11-13T00:01:14-05:00
164,Colony 15.10,5964,2012-11-17T00:01:23-05:00
165,Interlude 15,5693,2012-11-20T00:01:18-05:00
166,Monarch 16.1,4843,2012-11-24T00:01:26-05:00
167,Monarch 16.2,5686,2012-11-27T00:01:10-05:00
168,Interlude 16 (Donation Bonus),5039,2012-11-29T00:01:09-05:00
169,Monarch 16.3,4933,2012-12-01T00:01:41-05:00
170,Monarch 16.4,5384,2012-12-04T00:01:52-05:00
171,Monarch 16.5,6748,2012-12-08T00:01:39-05:00
172,Monarch 16.6,5230,2012-12-11T00:01:44-05:00
173,Interlude 16 (Donation Bonus #2),6467,2012-12-13T00:01:59-05:00
174,Monarch 16.7,5439,2012-12-15T00:01:57-05:00
175,Monarch 16.8,4342,2012-12-18T00:01:56-05:00
176,Monarch 16.9,4905,2012-12-22T00:01:53-05:00
177,Monarch 16.10,6346,2012-12-25T00:01:16-05:00
178,Interlude 16 (Donation Bonus #3),6185,2012-12-27T00:01:18-05:00
179,Monarch 16.11,6321,2012-12-29T00:01:35-05:00
180,Monarch 16.12,5855,2013-01-01T00:01:39-05:00
181,Monarch 16.13,8411,2013-01-05T00:01:11-05:00
182,Migration 17.1,6212,2013-01-08T00:01:40-05:00
183,Migration 17.2,6039,2013-01-09T00:01:38-05:00
184,Migration 17.3,5726,2013-01-10T00:01:44-05:00
185,Migration 17.4,5816,2013-01-11T00:01:03-05:00
186,Migration 17.5,4678,2013-01-12T00:01:39-05:00
187,Migration 17.6,8830,2013-01-13T00:01:02-05:00
188,Migration 17.7,7313,2013-01-14T00:01:41-05:00
189,Migration 17.8,7920,2013-01-15T00:01:43-05:00
190,Queen 18.1,5070,2013-01-19T00:01:52-05:00
191,Queen 18.2,4744,2013-01-22T00:01:46-05:00
192,Interlude 18 (Donation Bonus #1),5092,2013-01-24T00:01:38-05:00
193,Queen 18.3,5408,2013-01-26T00:01:58-05:00
194,Queen 18.4,5577,2013-01-29T00:01:55-05:00
