chapter number, title, wordcount, timestamp
85,"Cutting Class – 6.8",8880,2020-11-21T00:03:44-05:00
86,"Cutting Class – 6.9",8331,2020-11-24T00:03:59-05:00
87,"[6.9 Spoilers] Binding & Countermeasures",5,2020-11-26T00:03:27-05:00
88,"Cutting Class – 6.z",11366,2020-11-28T00:03:44-05:00
89,"Gone Ahead – 7.1",9938,2020-12-01T00:03:55-05:00
90,"Gone Ahead – 7.2",10510,2020-12-05T00:03:39-05:00
91,"Gone Ahead – 7.3",9850,2020-12-08T00:03:49-05:00
92,"[7.3 Spoilers] – Borrowed Eyes Comic",5,2020-12-10T00:03:53-05:00
93,"Gone Ahead – 7.4",7851,2020-12-12T00:03:01-05:00
94,"Gone Ahead – 7.5",5916,2020-12-15T00:03:29-05:00
95,"Gone Ahead – 7.6",12180,2020-12-19T00:03:15-05:00
96,"Gone Ahead – 7.a",10300,2020-12-22T00:03:21-05:00
97,"Gone Ahead – 7.7",9587,2020-12-26T00:03:05-05:00
98,"Gone Ahead – 7.8",11707,2020-12-29T00:03:28-05:00
99,"[7.8 Spoilers] Can We Talk About The Girls?",7390,2020-12-31T00:03:17-05:00
100,"Gone Ahead – 7.9",9767,2021-01-02T00:03:41-05:00
101,"Gone Ahead – 7.x",10720,2021-01-05T00:03:16-05:00
102,"Vanishing Points – 8.1",9053,2021-01-09T00:03:14-05:00
103,"Vanishing Points – 8.2",8233,2021-01-12T00:03:56-05:00
104,"[8.2 Spoilers] Soul & Self",5,2021-01-14T00:03:08-05:00
105,"Vanishing Points – 8.3",9863,2021-01-16T00:03:25-05:00
106,"Vanishing Points – 8.4",7158,2021-01-19T00:03:37-05:00
107,"Vanishing Points – 8.5",9128,2021-01-23T00:03:05-05:00
108,"Vanishing Points – 8.a",8250,2021-01-26T00:03:03-05:00
109,"[8.a Spoilers] New Other Correspondence #1",4624,2021-01-28T00:03:11-05:00
110,"Vanishing Points – 8.6",10164,2021-01-30T00:03:58-05:00
111,"Vanishing Points – 8.7",12743,2021-02-02T00:03:53-05:00
112,"[8.7 Spoilers] New Other Correspondence #2",6471,2021-02-04T00:03:28-05:00
113,"Vanishing Points – 8.8",13886,2021-02-06T00:03:52-05:00
114,"Shaking Hands – 9.1",8432,2021-02-09T00:03:42-05:00
115,"Shaking Hands – 9.2",8967,2021-02-13T00:03:49-05:00
116,"Shaking Hands – 9.3",9968,2021-02-16T19:34:03-05:00
117,"[9.3 Spoilers] Path Practicalities",5,2021-02-18T17:19:55-05:00
118,"Shaking Hands – 9.4",8438,2021-02-20T00:03:34-05:00
119,"Shaking Hands – 9.5",11121,2021-02-23T00:03:39-05:00
120,"Shaking Hands – 9.6",9839,2021-02-27T00:03:18-05:00
121,"Shaking Hands – 9.7",9380,2021-03-02T00:03:07-05:00
122,"Shaking Hands – 9.8",8656,2021-03-06T00:03:56-05:00
123,"Shaking Hands – 9.9",9909,2021-03-09T00:03:26-05:00
124,"[9.9 Spoilers] Kennet Locations & Past Events",24,2021-03-11T00:03:21-05:00
125,"Shaking Hands – 9.10",9306,2021-03-13T00:03:50-05:00
126,"Shaking Hands – 9.11",8168,2021-03-16T21:08:50-04:00
127,"Shaking Hands – 9.12",11944,2021-03-20T00:03:44-04:00
128,"Shaking Hands – 9.z",9952,2021-03-23T00:03:19-04:00
129,"[9.z Spoilers] Magic Item Identification",1329,2021-03-25T00:03:15-04:00
130,"One After Another – 10.1",11558,2021-03-27T00:03:03-04:00
131,"One After Another – 10.a",13669,2021-03-30T00:03:30-04:00
132,"Far Cry – 14.12",3111,2021-04-01T00:03:02-04:00
