chapter number, title, wordcount, timestamp
95,"Beacon – 8.9",5310,2018-07-31T00:02:13-04:00
96,"Beacon – 8.10",5741,2018-08-04T00:02:25-04:00
97,"Beacon – 8.11",5116,2018-08-07T00:02:04-04:00
98,"Beacon – 8.12",6083,2018-08-11T00:02:40-04:00
99,"Beacon – Interlude 8.x",6562,2018-08-14T00:02:37-04:00
100,"Beacon – Interlude 8.y",7371,2018-08-18T10:20:49-04:00
101,"Gleaming – 9.1",5363,2018-08-21T00:02:24-04:00
102,"Gleaming – 9.2",5326,2018-08-25T00:02:05-04:00
103,"Gleaming – 9.3",6157,2018-08-28T00:02:41-04:00
104,"Gleaming – 9.4",6155,2018-09-01T00:02:18-04:00
105,"Gleaming – 9.5",5704,2018-09-04T00:02:17-04:00
106,"Gleaming – 9.6",5445,2018-09-08T00:02:48-04:00
107,"Gleaming – 9.7",5720,2018-09-11T00:02:25-04:00
108,"Gleaming – Interlude 9.x",13962,2018-09-13T00:02:59-04:00
109,"Gleaming – 9.8",5561,2018-09-15T00:02:56-04:00
110,"Gleaming – 9.9",7025,2018-09-18T00:02:53-04:00
111,"Gleaming – Interlude 9.y",9743,2018-09-22T00:02:06-04:00
112,"Gleaming – 9.10",5835,2018-09-25T00:02:10-04:00
113,"Gleaming – 9.11",9274,2018-09-29T00:02:49-04:00
114,"Gleaming – 9.12",6381,2018-10-02T00:02:36-04:00
115,"Gleaming – 9.13",6297,2018-10-06T00:02:38-04:00
116,"Gleaming – 9.14",7586,2018-10-09T00:02:43-04:00
117,"Gleaming – 9.15",8169,2018-10-13T00:02:09-04:00
118,"Gleaming – Interlude 9.z",10123,2018-10-16T00:02:44-04:00
119,"Gleaming – Interlude 9",10683,2018-10-20T00:02:39-04:00
120,"Polarize – 10.1",5417,2018-10-23T00:02:30-04:00
121,"Polarize – 10.2",7806,2018-10-27T11:54:21-04:00
122,"Polarize – 10.3",5525,2018-10-30T00:02:43-04:00
123,"Polarize – 10.4",5836,2018-11-03T00:02:21-04:00
124,"Polarize – 10.5",5276,2018-11-06T00:02:39-04:00
125,"Polarize – 10.6",5550,2018-11-10T00:02:59-04:00
126,"Polarize – 10.7",5375,2018-11-13T12:17:43-04:00
127,"Polarize – 10.8",6648,2018-11-17T12:21:36-04:00
128,"Polarize – 10.9",5335,2018-11-20T00:02:50-04:00
129,"Interlude 10.x",7994,2018-11-24T13:07:05-04:00
130,"Polarize – 10.10",5822,2018-11-27T00:02:42-04:00
131,"Polarize – 10.11",6217,2018-12-01T00:02:55-04:00
132,"Polarize – 10.12",5431,2018-12-04T00:02:27-04:00
133,"Polarize – 10.13",8333,2018-12-08T00:02:55-04:00
134,"Interlude 10.y",9288,2018-12-11T00:02:41-04:00
135,"Interlude 10.z",7156,2018-12-15T00:02:00-04:00
136,"Blinding – 11.1",7275,2018-12-18T00:02:57-04:00
137,"Blinding – 11.2",6695,2018-12-22T00:02:46-04:00
138,"Blinding – 11.3",8567,2018-12-25T00:02:11-04:00
139,"Interlude – 11.a",6405,2018-12-29T00:02:43-04:00
140,"Blinding – 11.4",5540,2019-01-01T00:02:20-04:00
141,"Blinding – 11.5",5648,2019-01-05T00:02:06-04:00
142,"Blinding – 11.6",7859,2019-01-08T00:02:17-04:00
143,"Blinding – 11.7",7059,2019-01-12T00:02:32-04:00
144,"Blinding – 11.8",8452,2019-01-15T12:35:42-04:00
145,"Interlude – 11.b",7039,2019-01-19T13:45:37-04:00
146,"Interlude – 11.c",9471,2019-01-22T00:02:18-04:00
147,"Blinding – 11.9",5536,2019-01-26T00:02:59-04:00
148,"Blinding – 11.10",6113,2019-01-29T13:19:07-04:00
149,"Blinding – 11.11",10477,2019-02-02T00:02:44-04:00
150,"Blinding – 11.12",7258,2019-02-05T14:18:51-04:00
151,"Interlude – 12.z",10843,2019-02-09T00:02:22-04:00
152,"Heavens – 12.1",6679,2019-02-12T00:02:26-04:00
153,"Heavens – 12.2",7147,2019-02-16T00:02:02-04:00
154,"Interlude 12.e",11347,2019-02-19T00:02:34-04:00
155,"Heavens – 12.3",7405,2019-02-23T00:02:21-04:00
156,"Heavens – 12.4",7191,2019-02-26T00:02:30-04:00
157,"Heavens – 12.all",6703,2019-03-02T00:02:44-04:00
158,"Heavens – 12.5",7677,2019-03-05T00:02:34-04:00
159,"Heavens – 12.6",5928,2019-03-09T00:02:35-04:00
160,"Heavens – 12.f",8823,2019-03-12T00:02:01-04:00
161,"Heavens – 12.7",9147,2019-03-16T00:02:17-04:00
162,"Heavens – 12.8",7134,2019-03-19T00:02:44-04:00
163,"Heavens – 12.9",8528,2019-03-23T00:02:21-04:00
164,"Heavens – 12.none",10741,2019-03-26T00:02:34-04:00
165,"Heavens – 12.x",9370,2019-03-29T00:02:49-04:00
166,"Black – 13.1",7277,2019-04-02T00:02:31-04:00
167,"Black – 13.2",8036,2019-04-05T00:02:22-04:00
168,"Black – 13.3",6438,2019-04-09T00:02:41-04:00
169,"Black – 13.4",5474,2019-04-13T00:02:49-04:00
170,"Black – 13.5",7202,2019-04-16T14:45:54-04:00
171,"Black – 13.6",7649,2019-04-20T00:02:16-04:00
172,"Black – 13.7",6486,2019-04-23T00:02:12-04:00
173,"Black – 13.8",8253,2019-04-27T00:02:36-04:00
174,"Black – 13.x",7420,2019-04-30T00:02:02-04:00
175,"Black – 13.9",7371,2019-05-04T00:02:07-04:00
176,"Black – 13.10",8692,2019-05-07T00:02:52-04:00
177,"Black – 13.11",9163,2019-05-11T00:02:28-04:00
178,"Black – 13.z",12406,2019-05-14T00:02:37-04:00
179,"Breaking – 14.1",7135,2019-05-18T00:02:43-04:00
180,"Breaking – 14.2",7489,2019-05-21T00:02:01-04:00
181,"Breaking – 14.3",5986,2019-05-25T00:02:29-04:00
182,"Breaking – 14.4",6232,2019-05-28T00:02:03-04:00
183,"Breaking – 14.5",6417,2019-06-01T00:02:32-04:00
184,"Breaking – 14.6",7638,2019-06-04T00:02:47-04:00
185,"Breaking – 14.7",7435,2019-06-08T00:02:40-04:00
186,"Breaking – 14.8",7512,2019-06-11T00:02:47-04:00
187,"Breaking – 14.9",7519,2019-06-15T00:02:04-04:00
188,"Breaking – 14.10",7006,2019-06-18T00:02:54-04:00
189,"Breaking – 14.11",6280,2019-06-22T00:02:00-04:00
190,"Breaking – 14.12",6804,2019-06-25T00:02:14-04:00
191,"Breaking – 14.z",7341,2019-06-29T00:02:46-04:00
192,"Dying – 15.a",8684,2019-07-02T00:02:32-04:00
193,"Dying – 15.1",7015,2019-07-06T00:02:41-04:00
194,"Dying – 15.2",7869,2019-07-09T00:02:46-04:00
195,"Dying – 15.3",7478,2019-07-13T00:02:29-04:00
196,"Dying – 15.4",7715,2019-07-16T00:02:48-04:00
197,"Dying – 15.5",7399,2019-07-20T00:02:18-04:00
198,"Dying – 15.6",7272,2019-07-23T00:02:57-04:00
199,"Dying – 15.7",5523,2019-07-27T00:02:52-04:00
200,"Dying – 15.8",7101,2019-07-30T00:02:22-04:00
201,"Dying – 15.x",7934,2019-08-03T00:02:34-04:00
202,"Dying – 15.y",7791,2019-08-06T00:02:12-04:00
203,"Dying – 15.z",9791,2019-08-10T00:02:53-04:00
204,"From Within – 16.1",6910,2019-08-13T00:02:35-04:00
205,"From Within – 16.2",6415,2019-08-17T00:02:59-04:00
206,"From Within – 16.3",5537,2019-08-20T00:02:57-04:00
207,"From Within – 16.4",7018,2019-08-24T00:02:22-04:00
