chapter number, title, wordcount, timestamp
87,"Tooth and Nail – 7.9",4415,2015-11-10T00:01:38-04:00
88,"Tooth and Nail – 7.10",4470,2015-11-14T00:01:40-04:00
89,"Tooth and Nail – 7.11",4323,2015-11-17T00:01:12-04:00
90,"Tooth and Nail – 7.12",4033,2015-11-19T00:01:28-04:00
91,"Tooth and Nail – 7.13",4261,2015-11-21T00:01:47-04:00
92,"Tooth and Nail – 7.14",4036,2015-11-24T00:01:48-04:00
93,"Tooth and Nail – 7.15",5637,2015-11-26T00:01:24-04:00
94,"Tooth and Nail – 7.16",4953,2015-11-28T00:01:27-04:00
95,"Enemy (Arc 7 – Boys)",4300,2015-12-01T00:01:50-04:00
96,"Enemy (Arc 7 – Girls)",8784,2015-12-05T00:01:47-04:00
97,"Bleeding Edge – 8.1",4602,2015-12-08T00:01:50-04:00
98,"Bleeding Edge – 8.2",4440,2015-12-12T00:01:48-04:00
99,"Bleeding Edge – 8.3",4132,2015-12-15T00:01:18-04:00
100,"Bleeding Edge – 8.4",4345,2015-12-17T00:01:28-04:00
101,"Bleeding Edge – 8.5",4177,2015-12-19T00:01:49-04:00
102,"Bleeding Edge – 8.6",4883,2015-12-22T00:01:05-04:00
103,"Bleeding Edge – 8.7",4850,2015-12-26T00:01:46-04:00
104,"Bleeding Edge – 8.8",4555,2015-12-29T00:01:06-04:00
105,"Bleeding Edge – 8.9",5289,2016-01-02T00:01:11-04:00
106,"Bleeding Edge – 8.10",5423,2016-01-05T00:01:14-04:00
107,"Bleeding Edge – 8.11",4412,2016-01-09T00:01:17-04:00
108,"Bleeding Edge – 8.12",4191,2016-01-12T00:01:35-04:00
109,"Bleeding Edge – 8.13",5456,2016-01-16T00:01:06-04:00
110,"Bleeding Edge – 8.14",5041,2016-01-19T00:01:06-04:00
111,"Bleeding Edge – 8.15",4243,2016-01-21T00:01:54-04:00
112,"Bleeding Edge – 8.16",5103,2016-01-23T00:01:32-04:00
113,"Enemy (Arc 8)",5213,2016-01-26T00:01:18-04:00
114,"Counting Sheep – 9.1",4416,2016-01-28T00:01:33-04:00
115,"Counting Sheep – 9.2",5153,2016-01-30T00:01:07-04:00
116,"Counting Sheep – 9.3",4178,2016-02-02T00:01:46-04:00
117,"Counting Sheep – 9.4",5554,2016-02-06T00:01:58-04:00
118,"Counting Sheep – 9.5",4877,2016-02-09T00:01:42-04:00
119,"Counting Sheep – 9.6",4337,2016-02-13T00:01:15-04:00
120,"Counting Sheep – 9.7",4182,2016-02-16T00:01:08-04:00
121,"Counting Sheep – 9.8",4559,2016-02-18T00:01:21-04:00
122,"Counting Sheep – 9.9",4395,2016-02-20T00:01:58-04:00
123,"Counting Sheep – 9.10",4143,2016-02-23T00:01:02-04:00
124,"Counting Sheep – 9.11",5068,2016-02-25T00:01:09-04:00
125,"Counting Sheep – 9.12",4293,2016-02-27T00:01:28-04:00
126,"Counting Sheep – 9.13",4136,2016-03-01T00:01:39-04:00
127,"Counting Sheep – 9.14",5788,2016-03-05T00:01:40-04:00
128,"Counting Sheep – 9.15",4307,2016-03-08T00:01:29-04:00
129,"Counting Sheep – 9.16",4850,2016-03-10T00:01:31-04:00
130,"Counting Sheep – 9.17",4435,2016-03-12T00:01:35-04:00
131,"Counting Sheep – 9.18",5038,2016-03-15T00:01:27-04:00
132,"Enemy (Arc 9)",5711,2016-03-18T00:01:20-04:00
133,"In Sheep’s Clothing – 10.1",5728,2016-03-22T00:01:34-04:00
134,"In Sheep’s Clothing – 10.2",5618,2016-03-24T00:01:57-04:00
135,"In Sheep’s Clothing – 10.3",4890,2016-03-26T00:01:15-04:00
136,"In Sheep’s Clothing – 10.4",5390,2016-03-29T00:01:46-04:00
137,"In Sheep’s Clothing – 10.5",5331,2016-03-31T00:01:48-04:00
138,"In Sheep’s Clothing – 10.6",6010,2016-04-02T00:01:46-04:00
